cite_key	persistent_id	canonical_source	verified_on	status	intended_support
lin1989ccc	10.2307/2532051	https://doi.org/10.2307/2532051	2026-08-20	verified	Definition and use of concordance correlation coefficient
russell1980circumplex	10.1037/h0077714	https://doi.org/10.1037/h0077714	2026-08-20	verified	Valence-arousal dimensional affect framing
koelstra2012deap	10.1109/T-AFFC.2011.15	https://doi.org/10.1109/T-AFFC.2011.15	2026-08-20	verified	Canonical multimodal EEG affect dataset and self-report setting
zheng2015de	10.1109/TAMD.2015.2431497	https://doi.org/10.1109/TAMD.2015.2431497	2026-08-20	verified	Differential-entropy EEG emotion baseline
lawhern2018eegnet	10.1088/1741-2552/aace8c	https://doi.org/10.1088/1741-2552/aace8c	2026-08-20	verified	Compact specialist raw-EEG architecture
pernet2019eegbids	10.1038/s41597-019-0104-8	https://doi.org/10.1038/s41597-019-0104-8	2026-08-20	verified	EEG-BIDS data organization standard
markiewicz2021openneuro	10.7554/eLife.71774	https://doi.org/10.7554/eLife.71774	2026-08-20	verified	OpenNeuro repository role and versioned neuroscience data sharing
daly2020musiceeg	10.1038/s41597-020-0507-6	https://doi.org/10.1038/s41597-020-0507-6	2026-08-20	verified	MusicEEG paradigm and participant count
asif2023dens	10.1109/ACCESS.2023.3266804	https://doi.org/10.1109/ACCESS.2023.3266804	2026-08-20	verified	DENS naturalistic-video paradigm
xu2025emoeeg	10.1038/s41597-025-05349-2	https://doi.org/10.1038/s41597-025-05349-2	2026-08-20	verified	EmoEEG-MC multi-context paradigm
maka2026discrepancy	10.1093/cercor/bhaf340	https://doi.org/10.1093/cercor/bhaf340	2026-08-20	verified	ds006866 socio-affective and regulation paradigm
chen2023faced	10.1038/s41597-023-02650-w	https://doi.org/10.1038/s41597-023-02650-w	2026-08-20	verified	FACED source dataset used by the stimulus-identity critique
jiang2024labram	openreview:QzTpTRVtrP	https://openreview.net/forum?id=QzTpTRVtrP	2026-08-20	verified	LaBraM architecture, pretraining scale, and claimed transfer scope
wang2025cbramod	openreview:NPNUHgHF2w	https://openreview.net/forum?id=NPNUHgHF2w	2026-08-20	verified	CBraMod architecture and downstream evaluation scope
zhang2025mdjpt	10.52202/085713-5515	https://doi.org/10.52202/085713-5515	2026-08-20	verified	Multi-dataset joint pretraining for emotional EEG
chen2026emod	10.1609/aaai.v40i21.38796	https://doi.org/10.1609/aaai.v40i21.38796	2026-08-20	verified	Unified discrete and valence-arousal emotion representation
liu2026compass	10.1093/nsr/nwag466	https://doi.org/10.1093/nsr/nwag466	2026-08-20	verified	Broad EEG foundation-model benchmark and specialist-baseline conclusion
brookshire2024leakage	10.3389/fnins.2024.1373515	https://doi.org/10.3389/fnins.2024.1373515	2026-08-20	verified	Trial and subject leakage risks in translational EEG
lei2025leakage	ceur:4115/paper7	https://ceur-ws.org/Vol-4115/paper7.pdf	2026-08-20	verified	Trial-wise and test-data leakage in EEG emotion classification
gerster2026stimulus	10.64898/2026.06.12.731889	https://doi.org/10.64898/2026.06.12.731889	2026-08-20	verified_preprint	Stimulus identity as a driver of FACED classification
