claim_id	claim	numeric_value	display_value	table	selector	source_assets	source_sha256	allowed_wording
C01	DE performance under the trial-random audit control	0.627049310402	0.627	protocol_models	protocol=trial_random_holdout; representation=DE	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	The DE baseline reached macro CCC 0.6270 under trial-random holdout.
C02	DE performance under simultaneous subject and stimulus holdout	0.373863127523	0.3739	protocol_models	protocol=subject_stimulus_holdout; representation=DE	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	Under simultaneous unseen-subject and unseen-stimulus evaluation, DE reached macro CCC 0.3739.
C03	LaBraM pretrained performance under unseen-stimulus evaluation	0.446399814784	0.4464	protocol_models	protocol=stimulus_holdout; representation=LaBraM pretrained	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	Pretrained LaBraM reached macro CCC 0.4464 on unseen stimuli.
C04	LaBraM pretraining gain under unseen-stimulus evaluation	0.070639138252	0.0706	representation_comparisons	comparison=labram_pretrained_vs_labram_random; protocol=stimulus_holdout	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	LaBraM pretraining improved unseen-stimulus macro CCC by 0.0706 over random initialization.
C05	Lower endpoint of the cluster-bootstrap interval for the unseen-stimulus LaBraM gain	0.0396090807944	0.0396	representation_comparisons	comparison=labram_pretrained_vs_labram_random; protocol=stimulus_holdout	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	The cluster-bootstrap 95% interval for the unseen-stimulus LaBraM gain was [0.0396, 0.1143].
C06	Upper endpoint of the cluster-bootstrap interval for the unseen-stimulus LaBraM gain	0.114328695164	0.1143	representation_comparisons	comparison=labram_pretrained_vs_labram_random; protocol=stimulus_holdout	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	The cluster-bootstrap 95% interval for the unseen-stimulus LaBraM gain was [0.0396, 0.1143].
C07	LaBraM pretraining gain under unseen-subject evaluation	0.00146278521858	0.0015	representation_comparisons	comparison=labram_pretrained_vs_labram_random; protocol=subject_holdout	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	The LaBraM pretraining gain was only 0.0015 under unseen-subject evaluation.
C08	LaBraM pretraining gain under simultaneous subject and stimulus holdout	-0.000782632789543	-0.0008	representation_comparisons	comparison=labram_pretrained_vs_labram_random; protocol=subject_stimulus_holdout	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	The LaBraM pretraining difference was -0.0008 under simultaneous subject and stimulus holdout.
C09	Subject-identity probe accuracy for pretrained LaBraM	0.964166666667	0.9642	identity_probes	dataset_id=ds005540; probe=subject; representation=LaBraM pretrained	identity_labram_pretrained	1c5f10ad9cc92d2bc7c15cd6765a668c7f91c903c255c429a28e206cddc024a3	Pretrained LaBraM retained subject identity with balanced accuracy 0.9642 on ds005540.
C10	Subject-identity probe accuracy for randomly initialized LaBraM	0.173333333333	0.1733	identity_probes	dataset_id=ds005540; probe=subject; representation=LaBraM random	identity_labram_random	760b6f041679aa08e1c05c7c97a0bd92f202b1f0d811eca9097be4fc8c56a0bf	Randomly initialized LaBraM reached subject-identity balanced accuracy 0.1733 on ds005540.
